timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,pnl,pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns
2025-11-10 09:42:55,HA20251110_094255,ENTRY,NIFTY11NOV25C25550,25550,CE,88.95,,300,,,119605.0,"Good OI: 11,771,625, Good premium: ₹88.95",100,,25576.2,,11771625,76368375,CONTRARIAN,,BULLISH_MARUBOZU
2025-11-10 09:51:41,HA20251110_094255,EXIT,NIFTY11NOV25C25550,25550,CE,88.95,109.5,300,6164.999999999999,6124.999999999999,152435.0,IMMEDIATE_PROFIT_BOOK,100,,25576.2,,11771625,76368375,CONTRARIAN,8.776093333333334,BULLISH_MARUBOZU
2025-11-10 09:53:17,HA20251110_095317,ENTRY,NIFTY11NOV25C25550,25550,CE,106.85,,300,,,120360.0,"Good OI: 11,226,000, Good premium: ₹106.85",100,,25607.05,,11226000,103653525,TREND_BULL_CE,,HAMMER
2025-11-10 09:58:29,HA20251110_095829,ENTRY,NIFTY11NOV25C25550,25550,CE,99.2,,300,,,90580.0,"Good OI: 11,021,400, Good premium: ₹99.20",100,,25595.7,,11021400,111928050,CONTRARIAN,,"BULLISH_MARUBOZU, MORNING_STAR"
2025-11-10 10:08:56,HA20251110_100856,ENTRY,NIFTY11NOV25P25500,25500,PE,42.85,,300,,,77705.0,"Good OI: 18,336,225, Optimal premium: ₹42.85",100,,25576.35,,18336225,151679475,CONTRARIAN,,BEARISH_MARUBOZU
2025-11-10 10:16:15,HA20251110_100856,EXIT,NIFTY11NOV25P25500,25500,PE,42.85,31.15,300,-3510.000000000001,-3550.000000000001,87030.0,STOP_LOSS,100,,25576.35,,18336225,151679475,CONTRARIAN,7.3181128,BEARISH_MARUBOZU
2025-11-10 10:19:27,HA20251110_101927,ENTRY,NIFTY11NOV25C25550,25550,CE,112.1,,300,,,53380.0,"Good OI: 11,387,850, Good premium: ₹112.10",100,,25619.3,,11387850,146805675,CONTRARIAN,,"BULLISH_MARUBOZU, BULLISH_ENGULFING, MORNING_STAR"
2025-11-10 11:53:33,HA20251110_095317,EXIT,NIFTY11NOV25C25550,25550,CE,106.85,126.35,300,5850.0,5810.0,91265.0,TIME_EXIT,100,,25607.05,,11226000,103653525,TREND_BULL_CE,120.2681376,HAMMER
2025-11-10 11:53:34,HA20251110_115334,ENTRY,NIFTY11NOV25P25500,25500,PE,20.75,,300,,,85020.0,"Good OI: 22,806,525, Good premium: ₹20.75",100,,25648.6,,22806525,269689875,CONTRARIAN,,
2025-11-10 11:58:46,HA20251110_095829,EXIT,NIFTY11NOV25C25550,25550,CE,99.2,119.95,300,6225.0,6185.0,120985.0,TIME_EXIT,100,,25595.7,,11021400,111928050,CONTRARIAN,120.28940468333333,"BULLISH_MARUBOZU, MORNING_STAR"
2025-11-10 11:58:47,HA20251110_115847,ENTRY,NIFTY11NOV25P25500,25500,PE,22.0,,300,,,114365.0,"Good OI: 22,982,100, Good premium: ₹22.00",100,,25637.45,,22982100,273949350,CONTRARIAN,,
2025-11-10 12:19:40,HA20251110_101927,EXIT,NIFTY11NOV25C25550,25550,CE,112.1,124.7,300,3780.0000000000027,3740.0000000000027,151755.0,TIME_EXIT,100,,25619.3,,11387850,146805675,CONTRARIAN,120.2150611,"BULLISH_MARUBOZU, BULLISH_ENGULFING, MORNING_STAR"
2025-11-10 12:19:41,HA20251110_121941,ENTRY,NIFTY11NOV25P25500,25500,PE,21.5,,300,,,145285.0,"Good OI: 22,898,625, Good premium: ₹21.50",100,,25638.4,,22898625,289576425,TREND_BEAR_PE,,
2025-11-10 13:53:55,HA20251110_115334,EXIT,NIFTY11NOV25P25500,25500,PE,20.75,22.15,300,419.99999999999955,379.99999999999955,151910.0,TIME_EXIT,100,,25648.6,,22806525,269689875,CONTRARIAN,120.35751953333333,
2025-11-10 13:53:56,HA20251110_135356,ENTRY,NIFTY11NOV25C25500,25500,CE,146.5,,300,,,107940.0,"Good OI: 6,260,025, Far OTM CE",100,,25623.85,,6260025,201584250,CONTRARIAN,,
