timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2025-12-03 12:12:49,HA20251203_121249,ENTRY,NIFTY09DEC25C26300,26300,CE,30.1,,225,6792.5,,,,98936.75240270703,"Good OI: 9,249,075, ✅ OPTIMAL premium: ₹30.10 (77.8% win rate)",100,,25995.35,,9249075,40459650,SUPPORT_BOUNCE,,"BULLISH_MARUBOZU, MORNING_STAR",
2025-12-03 12:15:40,HA20251203_121540,ENTRY,NIFTY09DEC25C26300,26300,CE,29.75,,225,6713.75,,,,92223.00240270703,"Good OI: 9,096,150, ✅ OPTIMAL premium: ₹29.75 (77.8% win rate)",100,,25993.85,,9096150,41274900,SUPPORT_BOUNCE,,,
2025-12-03 12:18:31,HA20251203_121831,ENTRY,NIFTY09DEC25C26350,26350,CE,23.2,,225,5240.0,,,,86983.00240270703,"Good OI: 4,176,150, ✅ Good premium: ₹23.20 (60% win rate)",100,,25996.95,,4176150,21583800,SUPPORT_BOUNCE,,,
2025-12-03 13:13:00,HA20251203_121249,EXIT,NIFTY09DEC25C26300,26300,CE,30.1,26.55,225,6792.5,-798.7500000000001,56.015902075,-854.7659020750001,92900.73650063203,BOUNCE_TIME_EXIT,100,,25995.35,,9249075,40459650,SUPPORT_BOUNCE,60.1722686,"BULLISH_MARUBOZU, MORNING_STAR",-854.7659020750001
2025-12-03 13:15:47,HA20251203_121540,EXIT,NIFTY09DEC25C26300,26300,CE,29.75,26.2,225,6713.75,-798.7500000000001,55.970261725,-854.7202617250001,98739.76623890703,BOUNCE_TIME_EXIT,100,,25993.85,,9096150,41274900,SUPPORT_BOUNCE,60.12286178333333,,-1709.4861638000002
2025-12-03 13:18:00,HA20251203_131800,ENTRY,NIFTY09DEC25P25600,25600,PE,23.25,,225,5251.25,,,,93488.51623890703,"Good OI: 6,050,625, ✅ Good premium: ₹23.25 (60% win rate)",100,,25968.35,,6050625,36101100,CONTRARIAN,,SHOOTING_STAR,
2025-12-03 13:18:32,HA20251203_121831,EXIT,NIFTY09DEC25C26350,26350,CE,23.2,19.65,225,5240.0,-798.7500000000001,55.116135175,-853.8661351750001,97854.65010373203,BOUNCE_TIME_EXIT,100,,25996.95,,4176150,21583800,SUPPORT_BOUNCE,60.0048278,,-2563.3522989750004
2025-12-03 13:28:57,HA20251203_132857,ENTRY,NIFTY09DEC25C26350,26350,CE,21.85,,225,4936.25,,,,92918.40010373203,"Good OI: 4,204,575, ✅ Good premium: ₹21.85 (60% win rate)",100,,25988.3,,4204575,26103825,SUPPORT_BOUNCE,,"BULLISH_MARUBOZU, BULLISH_ENGULFING",
2025-12-03 13:49:17,HA20251203_132857,EXIT,NIFTY09DEC25C26350,26350,CE,21.85,17.45,225,4936.25,-990.0000000000005,54.839729649999995,-1044.8397296500004,96789.81037408202,BOUNCE_STOP_LOSS,100,,25988.3,,4204575,26103825,SUPPORT_BOUNCE,20.33153475,"BULLISH_MARUBOZU, BULLISH_ENGULFING",-3608.1920286250006
2025-12-03 14:24:44,HA20251203_131800,EXIT,NIFTY09DEC25P25600,25600,PE,23.25,19.6,225,5251.25,-821.2499999999997,55.110847674999995,-876.3608476749996,101144.69952640703,STOP_LOSS,100,,25968.35,,6050625,36101100,CONTRARIAN,66.74045765,SHOOTING_STAR,-4484.5528763
