timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2026-01-06 13:04:25,HA20260106_130425,ENTRY,NIFTY06JAN26P26200,26200,PE,34.15,,225,7703.75,,,,112011.10609603097,"Good OI: 25,124,840, ✅ OPTIMAL premium: ₹34.15 (77.8% win rate)",100,,26180.75,,25124840,1371657365,CONTRARIAN,,,
2026-01-06 13:08:51,HA20260106_130425,EXIT,NIFTY06JAN26P26200,26200,PE,34.15,24.2,225,7703.75,-2238.75,55.788342924999995,-2294.538342925,117400.31775310596,STOP_LOSS,100,,26180.75,,25124840,1371657365,CONTRARIAN,4.4211601,,-2294.538342925
2026-01-06 13:32:54,HA20260106_133254,ENTRY,NIFTY06JAN26P26200,26200,PE,49.8,,225,11225.0,,,,106175.31775310596,"Good OI: 24,661,130, Good premium: ₹49.80",100,,26155.55,,24661130,1540578715,CONTRARIAN,,"BEARISH_MARUBOZU, THREE_BLACK_CROWS",
2026-01-06 13:48:45,HA20260106_133254,EXIT,NIFTY06JAN26P26200,26200,PE,49.8,36.7,225,11225.0,-2947.4999999999986,57.457180750000006,-3004.9571807499988,114375.36057235596,STOP_LOSS,100,,26155.55,,24661130,1540578715,CONTRARIAN,15.840729566666665,"BEARISH_MARUBOZU, THREE_BLACK_CROWS",-5299.495523674999
