timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2025-12-15 10:32:01,HA20251215_103201,ENTRY,NIFTY16DEC25C26000,26000,CE,58.6,,225,13205.0,,,,109506.11203108197,"Good OI: 27,354,525, Moderate premium: ₹58.60",100,,25976.8,,27354525,228364500,CONTRARIAN,,THREE_WHITE_SOLDIERS,
2025-12-15 12:06:09,HA20251215_120609,ENTRY,NIFTY16DEC25C26100,26100,CE,35.0,,225,7895.0,,,,101611.11203108197,"Good OI: 16,481,625, ✅ OPTIMAL premium: ₹35.00 (77.8% win rate)",100,,26023.6,,16481625,259215300,CONTRARIAN,,,
2025-12-15 12:09:01,HA20251215_120901,ENTRY,NIFTY16DEC25C26000,26000,CE,82.75,,225,18638.75,,,,82972.36203108197,"Good OI: 21,625,800, ⚠️ Expensive: ₹82.75 (Moderate Trend)",100,,26026.9,,21625800,497671875,CONTRARIAN,,BULLISH_MARUBOZU,
2025-12-15 12:32:31,HA20251215_103201,EXIT,NIFTY16DEC25C26000,26000,CE,58.6,83.25,225,13205.0,5546.25,63.06205967500001,5483.1879403249995,101640.54997140697,TIME_EXIT,100,,25976.8,,27354525,228364500,CONTRARIAN,120.50284746666667,THREE_WHITE_SOLDIERS,5483.1879403249995
2025-12-15 12:33:03,HA20251215_120609,EXIT,NIFTY16DEC25C26100,26100,CE,35.0,37.3,225,7895.0,517.4999999999993,57.345608649999996,460.15439134999934,109975.70436275698,TRAILING_STOP (Locked profit: 6.7%),100,,26023.6,,16481625,259215300,CONTRARIAN,26.892247483333332,,5943.342331674999
2025-12-15 12:37:44,HA20251215_123744,ENTRY,NIFTY16DEC25C26100,26100,CE,36.6,,225,8255.0,,,,101720.70436275698,"Good OI: 16,508,025, ✅ OPTIMAL premium: ₹36.60 (77.8% win rate)",100,,26029.95,,16508025,307038375,CONTRARIAN,,HAMMER,
2025-12-15 14:17:36,HA20251215_120901,EXIT,NIFTY16DEC25C26000,26000,CE,82.75,69.2,225,18638.75,-3048.7499999999995,61.70075972499999,-3110.4507597249994,117229.00360303198,TIME_EXIT,100,,26026.9,,21625800,497671875,CONTRARIAN,128.58141851666667,BULLISH_MARUBOZU,2832.891571949999
2025-12-15 14:17:57,HA20251215_123744,EXIT,NIFTY16DEC25C26100,26100,CE,36.6,27.25,225,8255.0,-2103.7500000000005,56.178670675000006,-2159.9286706750004,123304.07493235698,STOP_LOSS,100,,26029.95,,16508025,307038375,CONTRARIAN,100.21307036666667,HAMMER,672.9629012749988
