timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,pnl,pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns
2025-11-07 11:20:52,HA20251107_112052,ENTRY,NIFTY11NOV25C25400,25400,CE,110.3,,300,,,66890.0,"Good OI: 14,030,400, Good premium: ₹110.30",100,,25434.05,,14030400,213241350,CONTRARIAN,,BULLISH_MARUBOZU
2025-11-07 11:26:05,HA20251107_112605,ENTRY,NIFTY11NOV25C25400,25400,CE,117.3,,300,,,31680.0,"Good OI: 12,660,825, Good premium: ₹117.30",100,,25444.6,,12660825,223463475,CONTRARIAN,,BULLISH_MARUBOZU
2025-11-07 11:29:13,HA20251107_112052,EXIT,NIFTY11NOV25C25400,25400,CE,110.3,129.4,300,5730.000000000003,5690.000000000003,70480.0,IMMEDIATE_PROFIT_BOOK,100,,25434.05,,14030400,213241350,CONTRARIAN,8.337221016666668,BULLISH_MARUBOZU
2025-11-07 11:31:17,HA20251107_112605,EXIT,NIFTY11NOV25C25400,25400,CE,117.3,148.8,300,9450.000000000004,9410.000000000004,115100.0,IMMEDIATE_PROFIT_BOOK,100,,25444.6,,12660825,223463475,CONTRARIAN,5.2090589000000005,BULLISH_MARUBOZU
2025-11-07 11:31:17,HA20251107_113117,ENTRY,NIFTY11NOV25C25400,25400,CE,148.0,,300,,,70680.0,"Good OI: 12,471,450, Perfect trend alignment: STRONG_BULLISH",100,,25486.6,,12471450,235833675,TREND_BULL_CE,,THREE_WHITE_SOLDIERS
2025-11-07 11:36:30,HA20251107_113630,ENTRY,NIFTY11NOV25C25450,25450,CE,116.1,,300,,,35830.0,"Good OI: 5,464,200, Good premium: ₹116.10",100,,25486.25,,5464200,122007000,TREND_BULL_CE,,THREE_WHITE_SOLDIERS
2025-11-07 13:31:20,HA20251107_113117,EXIT,NIFTY11NOV25C25400,25400,CE,148.0,188.7,300,12209.999999999996,12169.999999999996,92420.0,TIME_EXIT,100,,25486.6,,12471450,235833675,TREND_BULL_CE,120.0356526,THREE_WHITE_SOLDIERS
2025-11-07 13:35:58,HA20251107_133558,ENTRY,NIFTY11NOV25P25350,25350,PE,25.4,,300,,,84780.0,"Good OI: 11,687,400, Good premium: ₹25.40",100,,25566.25,,11687400,280521675,CONTRARIAN,,
2025-11-07 13:36:59,HA20251107_113630,EXIT,NIFTY11NOV25C25450,25450,CE,116.1,160.0,300,13170.000000000002,13130.000000000002,132760.0,TIME_EXIT,100,,25486.25,,5464200,122007000,TREND_BULL_CE,120.4875041,THREE_WHITE_SOLDIERS
2025-11-07 13:41:11,HA20251107_134111,ENTRY,NIFTY11NOV25P25350,25350,PE,26.1,,300,,,124910.0,"Good OI: 11,673,900, Good premium: ₹26.10",100,,25561.45,,11673900,282325350,CONTRARIAN,,
2025-11-07 13:55:45,HA20251107_134111,EXIT,NIFTY11NOV25P25350,25350,PE,26.1,31.2,300,1529.9999999999993,1489.9999999999993,134250.0,IMMEDIATE_PROFIT_BOOK,100,,25561.45,,11673900,282325350,CONTRARIAN,14.56554625,
2025-11-07 13:56:49,HA20251107_135649,ENTRY,NIFTY11NOV25P25300,25300,PE,22.8,,300,,,127390.0,"Good OI: 16,451,250, Good premium: ₹22.80",100,,25533.65,,16451250,335457300,TREND_BEAR_PE,,BEARISH_ENGULFING
2025-11-07 14:01:26,HA20251107_133558,EXIT,NIFTY11NOV25P25350,25350,PE,25.4,39.6,300,4260.000000000001,4220.000000000001,139250.0,TARGET_HIT,100,,25566.25,,11687400,280521675,CONTRARIAN,25.4579907,
