timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2025-11-27 11:53:38,HA20251127_115338,ENTRY,NIFTY02DEC25P26000,26000,PE,38.6,,225,8705.0,,,,88535.10952903202,"Good OI: 18,706,500, ✅ OPTIMAL premium: ₹38.60 (77.8% win rate)",100,,26256.1,,18706500,56593200,CONTRARIAN,,,
2025-11-27 11:59:15,HA20251127_115915,ENTRY,NIFTY02DEC25P26000,26000,PE,35.95,,225,8108.750000000001,,,,80426.35952903202,"Good OI: 18,568,425, ✅ OPTIMAL premium: ₹35.95 (77.8% win rate)",100,,26270.7,,18568425,58130400,CONTRARIAN,,,
2025-11-27 12:05:05,HA20251127_120505,ENTRY,NIFTY02DEC25P26000,26000,PE,36.2,,225,8165.000000000001,,,,72261.35952903202,"Good OI: 18,486,450, ✅ OPTIMAL premium: ₹36.20 (77.8% win rate)",100,,26266.55,,18486450,60136950,CONTRARIAN,,,
2025-11-27 12:29:38,HA20251127_120505,EXIT,NIFTY02DEC25P26000,26000,PE,36.2,38.6,225,8165.000000000001,539.9999999999997,57.51389739999999,482.48610259999964,80888.84563163202,TRAILING_STOP (Locked profit: 7.0%),100,,26266.55,,18486450,60136950,CONTRARIAN,24.55172908333333,,482.48610259999964
2025-11-27 12:31:54,HA20251127_115915,EXIT,NIFTY02DEC25P26000,26000,PE,35.95,37.95,225,8108.750000000001,450.0,57.434066949999995,392.56593305,89370.16156468203,TRAILING_STOP (Locked profit: 7.0%),100,,26270.7,,18568425,58130400,CONTRARIAN,32.660294316666665,,875.0520356499997
2025-11-27 12:38:40,HA20251127_123840,ENTRY,NIFTY02DEC25P26000,26000,PE,39.0,,225,8795.0,,,,80575.16156468203,"Good OI: 18,493,950, ✅ OPTIMAL premium: ₹39.00 (77.8% win rate)",100,,26243.1,,18493950,71099400,TREND_RIDER,,,
2025-11-27 13:15:46,HA20251127_131546,ENTRY,NIFTY02DEC25P26200,26200,PE,122.1,,225,27492.5,,,,53082.66156468203,"Good OI: 9,957,750, ⚠️ Very expensive: ₹122.10 (Strong Trend)",100,,26187.55,,9957750,154389375,CONTRARIAN,,"BEARISH_MARUBOZU, THREE_BLACK_CROWS",
2025-11-27 13:17:19,HA20251127_115338,EXIT,NIFTY02DEC25P26000,26000,PE,38.6,47.5,225,8705.0,2002.4999999999998,58.59435055000001,1943.9056494499998,63711.567214132025,TRAILING_STOP (Locked profit: 24.1%),100,,26256.1,,18706500,56593200,CONTRARIAN,83.68156058333334,,2818.9576850999993
2025-11-27 13:51:59,HA20251127_123840,EXIT,NIFTY02DEC25P26000,26000,PE,39.0,45.3,225,8795.0,1417.4999999999993,58.33951465,1359.1604853499994,73845.72769948203,TREND_RIDER_TRAILING_STOP (Locked profit: 17.4%),100,,26243.1,,18493950,71099400,TREND_RIDER,73.32970408333334,,4178.118170449999
2025-11-27 13:56:22,HA20251127_131546,EXIT,NIFTY02DEC25P26200,26200,PE,122.1,103.3,225,27492.5,-4229.999999999999,66.21214269999999,-4296.212142699999,97022.01555678203,STOP_LOSS,100,,26187.55,,9957750,154389375,CONTRARIAN,40.60675281666667,"BEARISH_MARUBOZU, THREE_BLACK_CROWS",-118.09397225000066
2025-11-27 14:06:06,HA20251127_140606,ENTRY,NIFTY02DEC25C26200,26200,CE,117.9,,225,26547.5,,,,70474.51555678203,"Good OI: 11,520,825, ⚠️ Very expensive: ₹117.90 (Strong Trend)",100,,26211.4,,11520825,161730825,CONTRARIAN,,,
2025-11-27 14:30:22,HA20251127_140606,EXIT,NIFTY02DEC25C26200,26200,CE,117.9,124.65,225,26547.5,1518.75,68.681287525,1450.068712475,98452.08426925703,TRAILING_STOP (Locked profit: 7.0%),100,,26211.4,,11520825,161730825,CONTRARIAN,24.253661716666667,,1331.9747402249993
