timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2026-01-19 13:06:47,HA20260119_130647,ENTRY,NIFTY20JAN26C25600,25600,CE,53.55,,225,12068.75,,,,161668.17272353102,"Good OI: 25,829,635, Moderate premium: ₹53.55",100,,25557.25,,25829635,452096775,CONTRARIAN,,BULLISH_MARUBOZU,
2026-01-19 13:09:39,HA20260119_130939,ENTRY,NIFTY20JAN26C25600,25600,CE,56.75,,225,12788.75,,,,148879.42272353102,"Good OI: 25,480,455, Moderate premium: ₹56.75",100,,25561.0,,25480455,459527315,CONTRARIAN,,BULLISH_MARUBOZU,
2026-01-19 13:11:12,HA20260119_130647,EXIT,NIFTY20JAN26C25600,25600,CE,53.55,43.55,225,12068.75,-2250.0,58.312218550000004,-2308.31221855,158619.860504981,STOP_LOSS,100,,25557.25,,25829635,452096775,CONTRARIAN,4.425390833333334,BULLISH_MARUBOZU,-2308.31221855
2026-01-19 13:11:13,HA20260119_130939,EXIT,NIFTY20JAN26C25600,25600,CE,56.75,43.55,225,12788.75,-2970.0000000000005,58.35166015,-3028.3516601500005,168360.25884483103,STOP_LOSS,100,,25561.0,,25480455,459527315,CONTRARIAN,1.5637163333333333,BULLISH_MARUBOZU,-5336.663878700001
2026-01-19 13:52:31,HA20260119_135231,ENTRY,NIFTY20JAN26C25700,25700,CE,33.35,,225,7523.75,,,,160836.50884483103,"Good OI: 20,432,620, ✅ OPTIMAL premium: ₹33.35 (77.8% win rate)",100,,25603.55,,20432620,327429895,CONTRARIAN,,,
2026-01-19 13:55:47,HA20260119_135547,ENTRY,NIFTY20JAN26C25700,25700,CE,32.45,,225,7321.250000000001,,,,153515.25884483103,"Good OI: 18,983,575, ✅ OPTIMAL premium: ₹32.45 (77.8% win rate)",100,,25600.15,,18983575,341851250,CONTRARIAN,,,
2026-01-19 13:58:40,HA20260119_135840,ENTRY,NIFTY20JAN26C25650,25650,CE,52.3,,300,15710.0,,,,137805.25884483103,"Good OI: 12,221,755, Moderate premium: ₹52.30",100,,25609.25,,12221755,295342060,CONTRARIAN,,BULLISH_MARUBOZU,
2026-01-19 14:01:34,HA20260119_135231,EXIT,NIFTY20JAN26C25700,25700,CE,33.35,42.4,225,7523.75,2036.2499999999993,57.927456625,1978.3225433749992,147287.33138820602,IMMEDIATE_PROFIT_BOOK,100,,25603.55,,20432620,327429895,CONTRARIAN,9.045757116666666,,-3358.3413353250016
2026-01-19 14:01:35,HA20260119_135547,EXIT,NIFTY20JAN26C25700,25700,CE,32.45,42.4,225,7321.250000000001,2238.749999999999,57.916363675,2180.833636324999,156769.41502453102,IMMEDIATE_PROFIT_BOOK,100,,25600.15,,18983575,341851250,CONTRARIAN,5.803273133333334,,-1177.5076990000025
2026-01-19 14:04:58,HA20260119_135840,EXIT,NIFTY20JAN26C25650,25650,CE,52.3,61.45,300,15710.0,2745.000000000002,64.8138175,2680.186182500002,175139.60120703102,IMMEDIATE_PROFIT_BOOK,100,,25609.25,,12221755,295342060,CONTRARIAN,6.291839716666667,BULLISH_MARUBOZU,1502.6784834999994
