timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2026-02-13 10:16:51,HA20260213_101651,ENTRY,NIFTY17FEB26P25400,25400,PE,47.55,,225,10718.75,,,,235984.51311873412,"Good OI: 7,286,240, Good premium: ₹47.55",100,,25565.5,,7286240,56575025,CONTRARIAN,,"BEARISH_MARUBOZU, BEARISH_ENGULFING",
2026-02-13 10:38:07,HA20260213_103807,ENTRY,NIFTY17FEB26C25600,25600,CE,99.05,,225,22306.25,,,,213678.26311873412,"Good OI: 19,714,955, ⚠️ Expensive: ₹99.05 (Strong Trend)",100,,25593.1,,19714955,110974630,CONTRARIAN,,BULLISH_MARUBOZU,
2026-02-13 10:41:09,HA20260213_104109,ENTRY,NIFTY17FEB26C25600,25600,CE,102.2,,225,23015.0,,,,190663.26311873412,"Good OI: 19,376,240, ⚠️ Very expensive: ₹102.20 (Strong Trend)",100,,25599.4,,19376240,116044240,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-13 12:17:13,HA20260213_101651,EXIT,NIFTY17FEB26P25400,25400,PE,47.55,40.6,225,10718.75,-1563.749999999999,57.889942825,-1621.639942824999,199740.37317590913,TIME_EXIT,100,,25565.5,,7286240,56575025,CONTRARIAN,120.35368733333333,"BEARISH_MARUBOZU, BEARISH_ENGULFING",-1621.639942824999
2026-02-13 12:17:47,HA20260213_121747,ENTRY,NIFTY17FEB26C25800,25800,CE,30.5,,225,6882.5,,,,192857.87317590913,"Good OI: 14,458,340, ✅ OPTIMAL premium: ₹30.50 (77.8% win rate)",100,,25582.7,,14458340,82384965,CONTRARIAN,,,
2026-02-13 12:27:39,HA20260213_121747,EXIT,NIFTY17FEB26C25800,25800,CE,30.5,35.6,225,6882.5,1147.5000000000002,57.08941555,1090.4105844500002,200810.78376035913,IMMEDIATE_PROFIT_BOOK,100,,25582.7,,14458340,82384965,CONTRARIAN,9.86095465,,-531.2293583749988
2026-02-13 12:31:01,HA20260213_123101,ENTRY,NIFTY17FEB26C25900,25900,CE,20.3,,225,4587.5,,,,196223.28376035913,"Good OI: 14,598,870, ✅ Good premium: ₹20.30 (60% win rate)",100,,25602.65,,14598870,59173985,CONTRARIAN,,BULLISH_MARUBOZU,
2026-02-13 12:36:19,HA20260213_103807,EXIT,NIFTY17FEB26C25600,25600,CE,99.05,105.55,225,22306.25,1462.5,66.1937098,1396.3062902,219905.84005055914,TRAILING_STOP (Locked profit: 6.6%),100,,25593.1,,19714955,110974630,CONTRARIAN,118.1903824,BULLISH_MARUBOZU,865.0769318250011
2026-02-13 12:37:20,HA20260213_123720,ENTRY,NIFTY17FEB26C25900,25900,CE,21.1,,225,4767.5,,,,215138.34005055914,"Good OI: 14,297,075, ✅ Good premium: ₹21.10 (60% win rate)",100,,25606.35,,14297075,61853870,CONTRARIAN,,BULLISH_MARUBOZU,
2026-02-13 12:41:30,HA20260213_104109,EXIT,NIFTY17FEB26C25600,25600,CE,102.2,99.9,225,23015.0,-517.4999999999993,65.56540855,-583.0654085499993,237550.27464200914,TIME_EXIT,100,,25599.4,,19376240,116044240,CONTRARIAN,120.34697785,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",282.01152327500176
2026-02-13 12:43:50,HA20260213_124350,ENTRY,NIFTY17FEB26C25800,25800,CE,33.05,,225,7456.249999999999,,,,230094.02464200914,"Good OI: 13,730,340, ✅ OPTIMAL premium: ₹33.05 (77.8% win rate)",100,,25599.1,,13730340,93568280,CONTRARIAN,,,
2026-02-13 12:55:51,HA20260213_123720,EXIT,NIFTY17FEB26C25900,25900,CE,21.1,17.9,225,4767.5,-720.0000000000007,54.8836195,-774.8836195000007,234066.64102250914,STOP_LOSS,100,,25606.35,,14297075,61853870,CONTRARIAN,18.511894316666666,BULLISH_MARUBOZU,-492.8720962249989
2026-02-13 12:55:54,HA20260213_124350,EXIT,NIFTY17FEB26C25800,25800,CE,33.05,27.75,225,7456.249999999999,-1192.4999999999993,56.193952900000006,-1248.6939528999994,240254.19706960913,STOP_LOSS,100,,25599.1,,13730340,93568280,CONTRARIAN,12.060587316666666,,-1741.5660491249982
2026-02-13 13:59:22,HA20260213_135922,ENTRY,NIFTY17FEB26P25400,25400,PE,47.25,,225,10651.25,,,,229602.94706960913,"Good OI: 7,991,815, Good premium: ₹47.25",100,,25549.8,,7991815,166189725,CONTRARIAN,,,
2026-02-13 14:31:25,HA20260213_123101,EXIT,NIFTY17FEB26C25900,25900,CE,20.3,18.05,225,4587.5,-506.25,54.891470425,-561.141470425,233609.30559918412,TIME_EXIT,100,,25602.65,,14598870,59173985,CONTRARIAN,120.40623086666666,BULLISH_MARUBOZU,-2302.7075195499983
2026-02-13 14:59:02,HA20260213_135922,EXIT,NIFTY17FEB26P25400,25400,PE,47.25,50.15,225,10651.25,652.4999999999997,59.013866199999995,593.4861337999996,244834.04173298413,TRAILING_STOP (Locked profit: 7.2%),100,,25549.8,,7991815,166189725,CONTRARIAN,59.66259686666667,,-1709.2213857499987
