timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2026-02-06 11:16:35,HA20260206_111635,ENTRY,NIFTY10FEB26C25600,25600,CE,95.55,,225,21518.75,,,,226049.5594563591,"Good OI: 17,342,065, ⚠️ Expensive: ₹95.55 (Strong Trend)",100,,25568.05,,17342065,167548615,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 11:19:44,HA20260206_111944,ENTRY,NIFTY10FEB26C25600,25600,CE,98.75,,225,22238.75,,,,203810.8094563591,"Good OI: 16,813,550, ⚠️ Expensive: ₹98.75 (Strong Trend)",100,,25573.25,,16813550,172396640,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 11:22:54,HA20260206_112254,ENTRY,NIFTY10FEB26C25700,25700,CE,66.45,,225,14971.25,,,,188839.5594563591,"Good OI: 16,400,085, Moderate premium: ₹66.45",100,,25593.35,,16400085,112318310,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 11:23:58,HA20260206_111944,EXIT,NIFTY10FEB26C25600,25600,CE,98.75,105.3,225,22238.75,1473.7499999999993,66.160493275,1407.5895067249994,212465.8989630841,TRAILING_STOP (Locked profit: 6.6%),100,,25573.25,,16813550,172396640,CONTRARIAN,4.238025483333334,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",1407.5895067249994
2026-02-06 11:25:57,HA20260206_112557,ENTRY,NIFTY10FEB26C25800,25800,CE,40.3,,300,12110.0,,,,200355.8989630841,"Good OI: 15,914,730, Good premium: ₹40.30",100,,25595.8,,15914730,87355710,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 11:37:07,HA20260206_112557,EXIT,NIFTY10FEB26C25800,25800,CE,40.3,49.15,300,12110.0,2655.0000000000005,62.6801713,2592.3198287000005,215038.2187917841,IMMEDIATE_PROFIT_BOOK,100,,25595.8,,15914730,87355710,CONTRARIAN,11.174337900000001,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",3999.909335425
2026-02-06 11:39:32,HA20260206_113932,ENTRY,NIFTY10FEB26C26000,26000,CE,21.55,,300,6485.0,,,,208553.2187917841,"Good OI: 17,609,930, ✅ Good premium: ₹21.55 (60% win rate)",100,,25640.4,,17609930,66293370,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 11:45:10,HA20260206_112254,EXIT,NIFTY10FEB26C25700,25700,CE,66.45,76.95,225,14971.25,2362.5,62.4149392,2300.0850608,225804.5538525841,TRAILING_STOP (Locked profit: 16.5%),100,,25593.35,,16400085,112318310,CONTRARIAN,22.2797475,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",6299.994396225
2026-02-06 11:45:44,HA20260206_114544,ENTRY,NIFTY10FEB26C25700,25700,CE,77.4,,300,23240.0,,,,202564.5538525841,"Good OI: 15,316,470, OI: Short buildup in CE (OI↑ Price↓)",100,,25625.15,,15316470,148240495,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-02-06 12:00:59,HA20260206_111635,EXIT,NIFTY10FEB26C25600,25600,CE,95.55,143.95,225,21518.75,10889.999999999998,70.68466975,10819.315330249998,234882.6191828341,TARGET_HIT,100,,25568.05,,17342065,167548615,CONTRARIAN,44.39356906666667,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",17119.309726474996
2026-02-06 12:01:01,HA20260206_120101,ENTRY,NIFTY10FEB26C26000,26000,CE,20.85,,300,6275.0,,,,228607.6191828341,"Good OI: 17,479,280, ✅ Good premium: ₹20.85 (60% win rate)",100,,25649.05,,17479280,79760590,CONTRARIAN,,,
2026-02-06 12:02:36,HA20260206_114544,EXIT,NIFTY10FEB26C25700,25700,CE,77.4,84.5,300,23240.0,2129.999999999998,68.8551646,2061.144835399998,253888.7640182341,TRAILING_STOP (Locked profit: 9.6%),100,,25625.15,,15316470,148240495,CONTRARIAN,16.879015283333334,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",19180.454561874994
2026-02-06 12:04:25,HA20260206_120425,ENTRY,NIFTY10FEB26C25800,25800,CE,50.1,,300,15050.0,,,,238838.7640182341,"Good OI: 14,145,430, Moderate premium: ₹50.10",100,,25633.3,,14145430,126165260,CONTRARIAN,,,
2026-02-06 12:07:25,HA20260206_113932,EXIT,NIFTY10FEB26C26000,26000,CE,21.55,16.05,300,6485.0,-1650.0,57.1609684,-1707.1609684,243596.60304983408,STOP_LOSS,100,,25640.4,,17609930,66293370,CONTRARIAN,27.88260505,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",17473.293593474995
2026-02-06 12:07:27,HA20260206_120727,ENTRY,NIFTY10FEB26C25900,25900,CE,25.95,,225,5858.75,,,,237737.85304983408,"Good OI: 8,456,110, ✅ OPTIMAL premium: ₹25.95 (77.8% win rate)",100,,25612.95,,8456110,80909465,CONTRARIAN,,,
2026-02-06 12:09:59,HA20260206_120101,EXIT,NIFTY10FEB26C26000,26000,CE,20.85,15.35,300,6275.0,-1650.0000000000005,57.0392608,-1707.0392608000004,242285.8137890341,STOP_LOSS,100,,25649.05,,17479280,79760590,CONTRARIAN,8.957924433333334,,15766.254332674995
2026-02-06 12:10:32,HA20260206_121032,ENTRY,NIFTY10FEB26C25900,25900,CE,24.25,,225,5476.25,,,,236809.5637890341,"Good OI: 8,403,330, ✅ Good premium: ₹24.25 (60% win rate)",100,,25605.25,,8403330,82056520,CONTRARIAN,,,
2026-02-06 12:21:11,HA20260206_120425,EXIT,NIFTY10FEB26C25800,25800,CE,50.1,36.55,300,15050.0,-4065.0000000000014,60.8575561,-4125.857556100002,247713.70623293408,STOP_LOSS,100,,25633.3,,14145430,126165260,CONTRARIAN,16.771054233333334,,11640.396776574993
2026-02-06 12:31:45,HA20260206_120727,EXIT,NIFTY10FEB26C25900,25900,CE,25.95,19.0,225,5858.75,-1563.7499999999998,55.073281225,-1618.8232812249998,251933.6329517091,STOP_LOSS,100,,25612.95,,8456110,80909465,CONTRARIAN,24.29975645,,10021.573495349992
2026-02-06 12:33:53,HA20260206_121032,EXIT,NIFTY10FEB26C25900,25900,CE,24.25,18.0,225,5476.25,-1406.25,54.934252375,-1461.184252375,255928.69869933408,STOP_LOSS,100,,25605.25,,8403330,82056520,CONTRARIAN,23.354651233333335,,8560.389242974992
