timestamp,trade_id,action,symbol,strike,option_type,entry_price,exit_price,quantity,capital_invested,gross_pnl,total_charges,net_pnl_after_charges,capital,reason,accuracy_score,trend_strength,nifty_level,iv_rank,oi,volume,strategy,holding_time_minutes,candlestick_patterns,running_daily_pnl
2026-01-21 12:55:16,HA20260121_125516,ENTRY,NIFTY27JAN26C25500,25500,CE,88.6,,300,26600.0,,,,139246.809259706,"Good OI: 11,432,265, ⚠️ Expensive: ₹88.60 (Strong Trend)",100,,25327.6,,11432265,139443980,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-01-21 12:58:11,HA20260121_125811,ENTRY,NIFTY27JAN26C25500,25500,CE,79.15,,300,23765.0,,,,115481.809259706,"Good OI: 11,237,655, ⚠️ Expensive: ₹79.15 (Strong Trend)",100,,25306.25,,11237655,141958895,CONTRARIAN,,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",
2026-01-21 13:01:07,HA20260121_130107,ENTRY,NIFTY27JAN26C25800,25800,CE,24.4,,300,7340.0,,,,108141.809259706,"Good OI: 7,323,550, ✅ Good premium: ₹24.40 (60% win rate)",100,,25318.45,,7323550,65746915,CONTRARIAN,,,
2026-01-21 13:10:53,HA20260121_125516,EXIT,NIFTY27JAN26C25500,25500,CE,88.6,61.95,300,26600.0,-7994.999999999997,65.48908870000001,-8060.489088699997,126661.32017100601,STOP_LOSS,100,,25327.6,,11432265,139443980,CONTRARIAN,15.608423433333334,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",-8060.489088699997
2026-01-21 13:10:54,HA20260121_130107,EXIT,NIFTY27JAN26C25800,25800,CE,24.4,17.85,300,7340.0,-1964.999999999999,57.491186500000005,-2022.491186499999,131958.82898450602,STOP_LOSS,100,,25318.45,,7323550,65746915,CONTRARIAN,9.780428,,-10082.980275199996
2026-01-21 13:12:46,HA20260121_131246,ENTRY,NIFTY27JAN26C25800,25800,CE,20.35,,225,4598.75,,,,127360.07898450602,"Good OI: 7,398,235, ✅ Good premium: ₹20.35 (60% win rate)",100,,25265.85,,7398235,69474080,CONTRARIAN,,,
2026-01-21 13:15:41,HA20260121_131541,ENTRY,NIFTY27JAN26C25700,25700,CE,29.6,,225,6680.0,,,,120680.07898450602,"Good OI: 6,785,935, ✅ OPTIMAL premium: ₹29.60 (77.8% win rate)",100,,25279.0,,6785935,75088390,CONTRARIAN,,,
2026-01-21 13:32:17,HA20260121_125811,EXIT,NIFTY27JAN26C25500,25500,CE,79.15,58.55,300,23765.0,-6180.000000000003,64.7985118,-6244.798511800002,138180.280472706,STOP_LOSS,100,,25306.25,,11237655,141958895,CONTRARIAN,34.10872021666667,"BULLISH_MARUBOZU, THREE_WHITE_SOLDIERS",-16327.778787
2026-01-21 13:50:32,HA20260121_135032,ENTRY,NIFTY27JAN26P24900,24900,PE,67.4,,225,15185.000000000002,,,,122995.28047270601,"Good OI: 6,899,685, Moderate premium: ₹67.40",100,,25227.85,,6899685,141919830,CONTRARIAN,,,
2026-01-21 13:52:56,HA20260121_131246,EXIT,NIFTY27JAN26C25800,25800,CE,20.35,14.8,225,4598.75,-1248.7500000000002,54.508341324999996,-1303.2583413250002,126270.77213138102,STOP_LOSS,100,,25265.85,,7398235,69474080,CONTRARIAN,40.16996746666667,,-17631.037128325
